index,train,val,test
694,TCGA-AR-A0TW,,
695,TCGA-A2-A0D4,,
696,TCGA-A8-A085,,
697,TCGA-E2-A105,,
698,TCGA-GM-A2DN,,
699,TCGA-B6-A0X7,,
700,TCGA-D8-A4Z1,,
701,TCGA-GM-A4E0,,
702,TCGA-3C-AALK,,
703,TCGA-D8-A1Y0,,
704,TCGA-AN-A0AM,,
705,TCGA-OL-A66N,,
706,TCGA-JL-A3YX,,
707,TCGA-EW-A1P5,,
708,TCGA-BH-A0EE,,
709,TCGA-AR-A1AS,,
710,TCGA-BH-A0BC,,
711,TCGA-OL-A5D7,,
712,TCGA-A1-A0SK,,
713,TCGA-A8-A07U,,
714,TCGA-E2-A156,,
715,TCGA-A2-A0YH,,
716,TCGA-AC-A8OR,,
717,TCGA-EW-A1PD,,
718,TCGA-AO-A0JD,,
719,TCGA-E2-A14N,,
720,TCGA-B6-A0WV,,
721,TCGA-A2-A04R,,
722,TCGA-OL-A97C,,
723,TCGA-A7-A0CH,,
724,TCGA-D8-A27N,,
725,TCGA-D8-A1XJ,,
726,TCGA-AO-A128,,
727,TCGA-BH-A0B0,,
728,TCGA-GM-A2DA,,
729,TCGA-BH-A0HI,,
730,TCGA-A2-A0CP,,
731,TCGA-A1-A0SE,,
732,TCGA-AR-A1AY,,
733,TCGA-BH-A18V,,
734,TCGA-D8-A27W,,
735,TCGA-BH-A1FR,,
736,TCGA-E2-A1B0,,
737,TCGA-AN-A0XN,,
738,TCGA-D8-A1JS,,
739,TCGA-D8-A1XB,,
740,TCGA-AR-A2LE,,
741,TCGA-A2-A0YM,,
742,TCGA-EW-A1PG,,
743,TCGA-A7-A13D,,
744,TCGA-PL-A8LZ,,
745,TCGA-C8-A137,,
746,TCGA-A8-A086,,
747,TCGA-E2-A10F,,
748,TCGA-A2-A3XZ,,
749,TCGA-D8-A141,,
750,TCGA-E2-A14Z,,
751,TCGA-AC-A2FG,,
752,TCGA-AN-A0FN,,
753,TCGA-D8-A1XR,,
754,TCGA-BH-A0E6,,
755,TCGA-AN-A0AL,,
756,TCGA-E9-A1ND,,
757,TCGA-D8-A1JD,,
758,TCGA-D8-A1XG,,
759,TCGA-B6-A0WS,,
760,TCGA-BH-A0DQ,,
761,TCGA-E9-A22H,,
762,TCGA-BH-A0HU,,
763,TCGA-E9-A3HO,,
764,TCGA-AR-A251,,
765,TCGA-EW-A6SD,,
766,TCGA-OL-A5RW,,
767,TCGA-AO-A12E,,
768,TCGA-AN-A0FT,,
769,TCGA-A8-A06Q,,
770,TCGA-AO-A0JM,,
771,TCGA-AO-A03M,,
772,TCGA-A8-A06T,,
773,TCGA-AR-A2LN,,
774,TCGA-E9-A2JS,,
775,TCGA-D8-A1XV,,
776,TCGA-B6-A0RS,,
777,TCGA-D8-A1XL,,
778,TCGA-A2-A0EU,,
779,TCGA-A7-A0CG,,
780,TCGA-E2-A1BD,,
781,TCGA-A8-A092,,
782,TCGA-A8-A091,,
783,TCGA-D8-A1JC,,
784,TCGA-AR-A24P,,
785,TCGA-A7-A0DB,,
786,TCGA-A7-A5ZV,,
787,TCGA-E9-A1N8,,
788,TCGA-B6-A0X1,,
789,TCGA-GM-A2DD,,
790,TCGA-S3-AA15,,
791,TCGA-E9-A3QA,,
792,TCGA-E2-A1IJ,,
793,TCGA-E2-A15J,,
794,TCGA-PL-A8LZ,,
795,TCGA-E9-A22B,,
796,TCGA-LL-A6FQ,,
797,TCGA-BH-A0DD,,
798,TCGA-E2-A15L,,
799,TCGA-C8-A134,,
800,TCGA-AN-A0XT,,
801,TCGA-E2-A1IU,,
802,TCGA-AR-A1AQ,,
803,TCGA-A8-A07F,,
804,TCGA-OL-A5DA,,
805,TCGA-A7-A0CJ,,
806,TCGA-B6-A0WZ,,
807,TCGA-D8-A27V,,
808,TCGA-A2-A259,,
809,TCGA-AQ-A54O,,
810,TCGA-OL-A5RV,,
811,TCGA-D8-A1J8,,
812,TCGA-E9-A1RB,,
813,TCGA-EW-A1P1,,
814,TCGA-A2-A0EO,,
815,TCGA-OL-A5D6,,
816,TCGA-AR-A2LO,,
817,TCGA-C8-A8HR,,
